Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,UNH,UNH,UNH,UNH,UNH,,,
2025-10-07,2025,10,7,Tuesday,40,2025-40,352.24,357.45,350.92,356.41,7236200,0.013630026225141867,341.41857142857145,303.0996
2025-10-08,2025,10,8,Wednesday,40,2025-40,359.61,367.16,358.51,362.54,9438300,0.017213825723682463,343.8757142857143,305.2652
2025-10-09,2025,10,9,Thursday,40,2025-40,365.09,368.72,358.78,360.36,8759800,-0.006028276290090284,346.04571428571427,307.29040000000003
2025-10-10,2025,10,10,Friday,40,2025-40,362.03,362.03,345.48,347.43,13141900,-0.035872601419077776,346.96999999999997,309.378
2025-10-13,2025,10,13,Monday,41,2025-41,347.67,352.0,346.28,351.51,5659400,0.011734846248981023,347.73785714285714,311.7768
2025-10-14,2025,10,14,Tuesday,41,2025-41,347.87,355.11,346.35,352.75,5974800,0.0035409932961094626,348.3057142857143,314.138
2025-10-15,2025,10,15,Wednesday,41,2025-41,352.22,356.96,348.75,353.95,6579600,0.003389473314483471,349.3971428571429,316.32800000000003
2025-10-16,2025,10,16,Thursday,41,2025-41,354.63,354.78,347.33,349.56,5872100,-0.012404681346298352,350.27857142857147,318.5318
2025-10-17,2025,10,17,Friday,41,2025-41,344.0,351.24,343.83,349.49,8608400,-0.0001963449629964753,351.07785714285717,320.7558
2025-10-20,2025,10,20,Monday,42,2025-42,351.39,358.28,350.38,357.21,5996500,0.02209764321436425,352.42,323.013
2025-10-21,2025,10,21,Tuesday,42,2025-42,357.86,363.65,354.29,358.08,6885300,0.0024416613378133167,353.61428571428576,325.25879999999995
2025-10-22,2025,10,22,Wednesday,42,2025-42,356.7,356.74,350.86,354.28,7833000,-0.010619304611280689,354.15785714285715,327.2494
2025-10-23,2025,10,23,Thursday,42,2025-42,348.49,355.06,346.59,353.26,5756700,-0.002876875863383588,354.175,329.0202
2025-10-24,2025,10,24,Friday,42,2025-42,354.16,358.13,352.85,355.27,5462100,0.0056872473537938895,354.43571428571425,330.8374
2025-10-27,2025,10,27,Monday,43,2025-43,356.25,358.92,354.19,358.68,7766400,0.009600090434638497,354.59785714285715,332.0894
2025-10-28,2025,10,28,Tuesday,43,2025-43,373.09,373.4,351.48,360.51,18858700,0.005082224873199648,354.45285714285717,333.2908
2025-10-29,2025,10,29,Wednesday,43,2025-43,357.02,358.85,346.82,348.18,11874900,-0.03419963514926294,353.5828571428571,334.32840000000004
2025-10-30,2025,10,30,Thursday,43,2025-43,340.59,347.47,336.75,337.88,11441900,-0.029583975805869134,352.9007142857143,335.24559999999997
2025-10-31,2025,10,31,Friday,43,2025-43,337.52,339.38,330.4,334.75,8390800,-0.009253108176716096,351.70357142857137,336.0318
2025-11-03,2025,11,3,Monday,44,2025-44,332.37,333.91,320.09,327.13,11181400,-0.02274858677717373,349.8735714285714,336.58639999999997
2025-11-04,2025,11,4,Tuesday,44,2025-44,321.1,329.79,320.68,324.23,9646600,-0.008867912876160955,347.7507142857143,337.1328
2025-11-05,2025,11,5,Wednesday,44,2025-44,319.79,323.63,317.76,321.21,9697100,-0.00934021655259365,345.7257142857143,337.7052
2025-11-06,2025,11,6,Thursday,44,2025-44,322.36,325.74,315.04,315.15,7922100,-0.01885627240623522,343.2728571428571,338.0892
2025-11-07,2025,11,7,Friday,44,2025-44,313.29,318.08,307.9,317.75,9402900,0.008241094226431045,340.4542857142857,338.556
2025-11-10,2025,11,10,Monday,45,2025-45,313.61,317.78,310.85,315.17,9283800,-0.008112169473970532,337.3892857142857,338.8236
2025-11-11,2025,11,11,Tuesday,45,2025-45,316.85,321.32,313.5,320.92,7157800,0.018253824162363763,335.00642857142856,339.227
2025-11-12,2025,11,12,Wednesday,45,2025-45,321.9,336.33,320.56,332.3,10403300,0.035455698682191006,333.50928571428574,339.876
2025-11-13,2025,11,13,Thursday,45,2025-45,331.6,332.27,324.68,325.89,7788700,-0.019288644560139345,331.4107142857143,340.3482
2025-11-14,2025,11,14,Friday,45,2025-45,320.43,321.67,314.1,315.44,8676500,-0.03205821649704643,328.32214285714286,340.51380000000006
2025-11-17,2025,11,17,Monday,46,2025-46,314.21,321.34,313.06,314.13,6485400,-0.004163337821670887,325.00928571428574,340.55839999999995
2025-11-18,2025,11,18,Tuesday,46,2025-46,310.69,311.17,302.61,307.33,9182100,-0.021652257411168163,322.0914285714286,339.92800000000005
2025-11-19,2025,11,19,Wednesday,46,2025-46,307.67,308.72,298.46,302.93,8181100,-0.01431844209662092,319.59499999999997,339.232
2025-11-20,2025,11,20,Thursday,46,2025-46,304.61,308.47,303.82,305.33,7337600,0.007926405720551921,317.49357142857144,338.45079999999996
2025-11-21,2025,11,21,Friday,46,2025-46,305.69,317.38,305.23,313.59,8406300,0.027059083987548194,316.52642857142854,337.85619999999994
2025-11-24,2025,11,24,Monday,47,2025-47,318.06,319.35,311.29,312.69,10773800,-0.002875224035374213,315.70214285714286,337.29100000000005
2025-11-25,2025,11,25,Tuesday,47,2025-47,314.72,321.46,314.5,319.77,6149100,0.022661039591746146,315.59928571428566,337.0262
2025-11-26,2025,11,26,Wednesday,47,2025-47,320.08,328.51,319.39,323.14,5504200,0.010512422501029572,316.17,336.793
2025-11-28,2025,11,28,Friday,47,2025-47,325.06,325.44,322.33,323.19,2464500,0.0001819895853225617,316.5585714285714,336.694
2025-12-01,2025,12,1,Monday,48,2025-48,320.64,323.48,316.59,316.77,6154600,-0.019892648514769684,316.67285714285714,336.42980000000006
2025-12-02,2025,12,2,Tuesday,48,2025-48,316.92,322.15,316.36,318.07,7978100,0.004114926212740899,316.4692857142857,336.1014
2025-12-03,2025,12,3,Wednesday,48,2025-48,319.5,334.6,318.53,332.94,9770000,0.04674317113433113,316.515,335.945
2025-12-04,2025,12,4,Thursday,48,2025-48,332.63,334.46,322.17,326.84,8061600,-0.018309819779067427,316.5828571428571,335.58579999999995
2025-12-05,2025,12,5,Friday,48,2025-48,328.32,329.02,321.96,324.31,5906000,-0.007736385484435893,317.21642857142854,335.2986
2025-12-08,2025,12,8,Monday,49,2025-49,324.31,324.71,318.52,319.3,4782800,-0.015454704995880753,317.5857142857143,334.94019999999995
2025-12-09,2025,12,9,Tuesday,49,2025-49,318.85,322.0,318.18,319.28,4628400,-6.183803080950234e-05,318.4392857142857,334.55979999999994
2025-12-10,2025,12,10,Wednesday,49,2025-49,318.44,324.34,315.33,323.99,5910500,0.014740441036610985,319.94357142857143,334.2712
2025-12-11,2025,12,11,Thursday,49,2025-49,325.96,334.72,324.37,332.23,7513200,0.02545913218875695,321.86499999999995,334.0886
2025-12-12,2025,12,12,Friday,49,2025-49,332.99,340.37,332.87,337.28,7979000,0.015175254216830858,323.5571428571429,333.9008
2025-12-15,2025,12,15,Monday,50,2025-50,336.44,340.35,332.5,336.55,6447200,-0.002164699776390999,325.26142857142855,333.5714
2025-12-16,2025,12,16,Tuesday,50,2025-50,335.88,336.44,326.61,329.74,6334000,-0.020228591792403994,325.97357142857146,333.13379999999995
2025-12-17,2025,12,17,Wednesday,50,2025-50,329.16,331.04,326.07,327.2,4685600,-0.00769004731660472,326.2635714285714,332.5496
2025-12-18,2025,12,18,Thursday,50,2025-50,324.54,325.77,320.24,323.76,6354900,-0.010523807369761662,326.30428571428575,331.77399999999994
2025-12-19,2025,12,19,Friday,50,2025-50,323.68,330.13,321.72,323.05,10553000,-0.002194184891607054,326.7528571428571,331.0278
2025-12-22,2025,12,22,Monday,51,2025-51,318.59,325.4,317.36,320.82,7872400,-0.006902442574978518,326.94928571428574,330.49559999999997
